iso3,country,imp_usd,exp_usd,vintage,note
BRA,Brazil,12587924236,1214395983,2024,
MEX,Mexico,8816912366,2740010888,2024,
COL,Colombia,3855610294,395968248,2024,
ARG,Argentina,2486880726,865433285,2024,
CHL,Chile,2351159117,179542031,2024,
PER,Peru,1143103130,98383645,2024,
ECU,Ecuador,1189366360,29406932,2024,
CRI,Costa Rica,1122112894,452495351,2024,
GTM,Guatemala,1120442042,423706633,2024,
DOM,Dominican Republic,1013110797,535222287,2024,
PAN,Panama,824555463,33942508,2024,
HND,Honduras,757104314,46641887,2024,
SLV,El Salvador,646245002,175525073,2024,
NIC,Nicaragua,550872143,12519084,2024,
PRY,Paraguay,462436897,74717611,2024,
URY,Uruguay,426358333,197955883,2024,
BOL,Bolivia,253851638,2054066,2024,
JAM,Jamaica,205318203,7886064,2024,
TTO,Trinidad and Tobago,198092299,3072667,2024,
BHS,Bahamas,69283663,287322,2024,
BRB,Barbados,47299450,30202487,2024,
GUY,Guyana,34475016,5536130,2024,
BLZ,Belize,17261050,709721,2024,
SUR,Suriname,15352618,59333,2024,
GRD,Grenada,9267509,96066,2024,
ATG,Antigua and Barbuda,9243383,390910,2024,
DMA,Dominica,5282570,9556,2023,latest available (2024 not yet released)
VCT,Saint Vincent and the Grenadines,5982481,,2023,latest available; 2023 export not pulled
CUB,Cuba,,,,non-reporter — use mirror (partner-reported) data
HTI,Haiti,,,,non-reporter — use mirror data
VEN,Venezuela,,,,non-reporter — use mirror data
LCA,Saint Lucia,,,,non-reporter — use mirror data
KNA,Saint Kitts and Nevis,,,,non-reporter — use mirror data
